Region,Old Region,Division,District,SCHOOL ID,School Name,No. of Sites,No. of Classroom,Scope of Works,Estimated Project Allocation,Site Ownership
Region IV-A,Region IV-A,San Pablo City,Sto. Angel,109803,Antonia Manuel Magcase Elementary School,1,8,4STY8CL,42618994.43,TCT / OCT
Region IV-A,Region IV-A,San Pablo City,Sto. Angel,301510,Sto. Angel National High School,1,12,4STY12CL,63928491.64,TD
Region IV-A,Region IV-A,San Pablo City,San Francisco,308601,San Vicente Integrated High School,1,24,4STY12CL,63928491.64,TD
Region IV-A,Region IV-A,San Pablo City,Dapdapan,308602,San Jose Integrated High School,1,16,4STY16CL,85237988.8,TD
Region IV-A,Region IV-A,San Pablo City,Del Remedio,308606,Prudencia D. Fule Memorial National High School,1,16,4STY16CL,85237988.8,TD
Region IV-A,Region IV-A,San Pablo City,Del Remedio,500152,Sta. Filomena Integrated School,1,20,4STY20CL,106547486,TD
Region IV-A,Region IV-A,San Pedro City,San Pedro,108429,Sampaguita Village ES,1,8,4 STY 8 CL,40000000,DOD
Region IV-A,Region IV-A,San Pedro City,San Pedro,108432,San Pedro CES,1,8,4 STY 8 CL,40000000,TCT / OCT
Region IV-A,Region IV-A,San Pedro City,San Pedro,108434,San Vicente Elementary School,1,8,4 STY 8 CL,40000000,DOD
Region IV-A,Region IV-A,San Pedro City,San Pedro,301256,Pacita Complex NHS,1,8,4 STY 8 CL,40000000,TD
Region IV-A,Region IV-A,San Pedro City,San Pedro,307914,Doña Pilar M. Alberto Integrated High School,1,12,3 STY 12 CL,57000000,DOD
Region IV-A,Region IV-A,San Pedro City,San Pedro,307939,San Antonio Integrated National High School,1,8,4 STY 8 CL,40000000,UA
Region IV-A,Region IV-A,Sta. Rosa City,City of Sta. Rosa District I,301225,Leon C. Arcillas National High School,1,12,4 STY 12 CL,50000000,TD
Region IV-A,Region IV-A,Sto. Tomas City,Sto. Tomas North,107707,Doña Tiburcia Carpio Malvar Elementary School,1,20,4ST 20CL,92400000,TD
Region IV-A,Region IV-A,Sto. Tomas City,Sto. Tomas South,301141,San Jose National High School,1,12,4ST 12CL,56100000,TD
Region IV-A,Region IV-A,Sto. Tomas City,Sto. Tomas South,301147,Sta. Clara Integrated National High School,1,9,3ST 9 CL,38500000,DOD
Region IV-A,Region IV-A,Tanauan City,Tanauan City South II,107761,Janopol Oriental ES,1,6,2STY 6CL,15000000,TCT / OCT
Region IV-A,Region IV-A,Tanauan City,Tanauan City North I,107783,Tapia ES,1,16,4STY 16CL,41440000,TD
Region IV-A,Region IV-A,Tanauan City,Tanauan City West II,301119,Malaking Pulo National High School,1,6,2STY 6CL,15000000,TD
Region IV-A,Region IV-A,Tayabas City,Tayabas East,109233,East Palale ES,1,4,2STY4CL,14000000,DOD
Region IV-A,Region IV-A,Tayabas City,Tayabas East,109242,South Palale ES,1,9,3STY9CL,31500000,TCT / OCT
Region IV-A,Region IV-A,Tayabas City,Tayabas West,109258,Potol ES,1,6,3STY6CL,21000000,DOD
Region IV-A,Region IV-A,Tayabas City,Tayabas West,109262,Tayabas West CS IV,1,8,4STY8CL,28000000,TCT / OCT
Region IV-A,Region IV-A,Tayabas City,Tayabas West,500496,Dapdap Integrated School,1,12,4STY12CL,42000000,TCT / OCT
MIMAROPA,MIMAROPA,Occidental Mindoro,San Jose East,301599,San Jose NHS,1,15,3 STOREY 15 CL,45000000,TCT / OCT
MIMAROPA,MIMAROPA,Occidental Mindoro,San Jose North,305785,La Curva National High School,1,8,2 STOREY 8 CL,24000000,TCT / OCT
MIMAROPA,MIMAROPA,Occidental Mindoro,Lubang,500029,Lubang Integrated School,1,10,2 ST0REY 10 CL,30000000,TD
MIMAROPA,MIMAROPA,Oriental Mindoro,Bulalacao,301620,Bulalacao NHS,1,12,2UNITS-2STY6CL,42000000,DOD
MIMAROPA,MIMAROPA,Oriental Mindoro,Roxas,301640,Dangay NHS,1,8,2STY8CL,28000000,DOD
MIMAROPA,MIMAROPA,Oriental Mindoro,San Teodoro,305783,Tacligan High School,1,8,2UNITS-2STY4CL,28000000,DOD
MIMAROPA,MIMAROPA,Oriental Mindoro,Bongabong North,305823,Panluan Hagan Mangyan High School,1,6,2STY6CL,21000000,UA
MIMAROPA,MIMAROPA,Oriental Mindoro,Gloria,309002,President Diosdado Macapagal MNHS,1,20,"3STY12CL, 2STY8CL",70000000,TCT / OCT
MIMAROPA,MIMAROPA,Oriental Mindoro,Pinamalayan East,309018,Sabang High School,1,6,2STY6CL,21000000,DOD
MIMAROPA,MIMAROPA,Oriental Mindoro,Pinamalayan East,309162,Cacawan High School,1,6,2STY6CL,21000000,DOD
MIMAROPA,MIMAROPA,Oriental Mindoro,Gloria,502237,Buong Lupa Integrated School,1,6,2STY6CL,21000000,DOD
MIMAROPA,MIMAROPA,Palawan,Dumaran Mainland District,110784,Sta. Teresita Elementary School,1,8,2STY8CL,38543400,TD
MIMAROPA,MIMAROPA,Palawan,Busuanga,110958,Salvacion Elementary School,1,10,2STY10CL,46174500,TD
MIMAROPA,MIMAROPA,Palawan,Cuyo,111010,Pawa Elementary School,1,6,2STY6CL,28089600,TD
MIMAROPA,MIMAROPA,Palawan,Roxas South,111150,Jolo Elementary School,1,4,2STY4CL,18354000,DOD
MIMAROPA,MIMAROPA,Palawan,San Vicente,111180,Alimanguan Elementary School,1,6,2STY6CL,26812800,TD
MIMAROPA,MIMAROPA,Palawan,San Vicente,111200,Port Barton Elementary School,1,6,2STY6CL,27173800,DOD
MIMAROPA,MIMAROPA,Palawan,Coron Coastal,170532,Claudio Sandoval South Elementary School,1,6,2STY6CL,25626000,DOD
MIMAROPA,MIMAROPA,Palawan,El Nido del Norte,301741,Sibaltan National High School,1,6,2sty6CL,25600000,DOD
MIMAROPA,MIMAROPA,Palawan,El Nido del Sur,305586,Manlag National High School,1,4,2sty4CL,19271700,TD
MIMAROPA,MIMAROPA,Palawan,Culion,305599,Halsey National High School,1,8,2STY8CL,35055000,DOD
MIMAROPA,MIMAROPA,Palawan,Rizal,111100,Cabcungan Elementary School (FLRF Vill.),1,8,2STY8cl,23000000,TD
MIMAROPA,MIMAROPA,Palawan,Narra District II,170525,Damayan Bliss Elementary School,1,6,2sty6CL,22400000,DOD
MIMAROPA,MIMAROPA,Palawan,Aborlan West,110718,Bubusawin Elementary School,1,4,2STY4CL,16550000,DOD
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa II District,111477,FRANCISCO UBAY MEMORIAL ELEM SCHOOL,1,20,4STY-20CL,70000000,TCT / OCT
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa II District,111489,Manuel Austria MES,1,20,4STY-20CL,70000000,DOD
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa II District,111494,Sta. Lourdes Elementary School,1,12,2STY-6CL,42000000,DOD
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa III District,111519,Makandring ES,1,4,2STY-4CL,14000000,DOS
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa I District,330506,Santa Monica National High School,1,40,4STY-20CL,140000000,MOA
Region V,Region V,Camarines Norte,Labo East,112191,Marcos Pimentel Elementary School,1,4,2STY 4CL,18001000.7,DOD
Region V,Region V,Camarines Norte,Sta. Elena,173008,Don Tomas Elementary School,1,4,2STY4CL,18680000.35,TD
Region V,Region V,Camarines Norte,Sta. Elena,173011,Maulawin Elementary School,1,6,2STY6CL,21980000.15,TD
Region V,Region V,Camarines Norte,Vinzons,112299,Cagbalogo Elementary School,1,4,2STY4CL,21146286.25,TD
Region V,Region V,Camarines Sur,Cabusao,302051,Sta. Lutgarda National High School,1,4,2 sty 4,10000000,DOD
Region V,Region V,Camarines Sur,Pili,306060,LA PURISIMA PILI NATIONAL HIGH SCHOOL,1,4,2 sty 4,10000000,DOS
Region V,Region V,Catanduanes,Pandan East,113228,Lourdes ES,1,6,2STY - 6CL,30000000,DOD
Region V,Region V,Catanduanes,Panganiban,113254,San Miguel ES,1,6,2 STY - 6CL,30000000,TD
Region V,Region V,Catanduanes,Viga West,113328,Sagrada ES,1,6,2STY-6CL,25314000,DOD
Region V,Region V,Catanduanes,San Andres East,302096,San Andres Vocational School,1,10,2STY - 1OCL,50000000,TCT / OCT
Region V,Region V,Catanduanes,Pandan East,502496,Baldoc Integrated School,1,12,2 STY - 12CL,59978000,TD
Region V,Region V,Iriga City,Iriga Central District,306334,Iriga City Science High School,1,3,2sty4cl,20000000,TD
Region V,Region V,Iriga City,Iriga Central District,500166,Iriga City Division Integrated Special School (SPED),1,4,2sty4cl,20000000,TD
Region V,Region V,Iriga City,Iriga South District,500168,Santiago Integrated School,1,6,2sty6cl,30000000,DOD
Region V,Region V,Iriga City,Iriga Central District,502270,Salvacion Integrated School,1,4,2sty4cl,20000000,TD
Region V,Region V,Masbate City,Masbaste North District 2,130949,Calolod Elementary School,1,6,2STY 6CL,27000000,DOD
Region V,Region V,Masbate City,Masbaste North District 2,305914,B. Titong High School,1,10,2STY 10CL,45000000,DOD
Region V,Region V,Masbate City,Masbate South District 1,321802,Usab High School,1,8,2STY 8CL,36000000,TD
Region V,Region V,Naga City,Naga East District,114507,Don Manuel I. Abella Central School,1,16,4STY 16CL,70000000,DOD
Region V,Region V,Naga City,Naga East District,114510,San Isidro Elementary School,1,4,2STY 4 CL,19000000,DOD
Region V,Region V,Naga City,Naga East District,137172,Yabu Elementary School,1,4,2STY 4CL,19000000,DOD
Region V,Region V,Naga City,Naga South District,305492,Del Rosario High School,1,4,2STY 4CL,19000000,MOA
Region V,Region V,Naga City,Naga East District,305875,Sta. Cruz National High School,1,8,2STY 8CL,40000000,DOD
Region V,Region V,Naga City,Naga East District,305876,San Isidro National High School,1,4,2STY 4CL,19000000,DOD
Region V,Region V,Sorsogon,Casiguran,114098,Trece Martires ES,1,6,2sty 6cl,23400000,TD
Region V,Region V,Sorsogon,Castilla East,114106,La Union ES,1,4,2sty 4cl,15850000,TCT / OCT
Region V,Region V,Sorsogon,Castilla East,114111,Oras Elementary School,1,4,2sty 4cl,15850000,TD
Region V,Region V,Sorsogon,Castilla West,114135,Sogoy ES,1,4,2sty 4cl,15525000,DOD
#CALC!,,,,114156,,1,4,2sty 4cl,15850000,DOD
Region V,Region V,Sorsogon,Magallanes South,114287,Aguada Elementary School,1,4,2sty 4cl,20000000,TD
Region V,Region V,Sorsogon,Pilar I,114350,Lungib ES,1,4,2sty 4cl,15850000,TD
Region V,Region V,Sorsogon,Pilar I,114359,San Antonio ES,1,4,2sty 4cl,15850000,DOD
Region V,Region V,Sorsogon,Donsol East,302204,Donsol National Comprehensive High School,1,15,3sty15cl,61702228.16,TD
Region V,Region V,Sorsogon,Donsol East,302205,Banuang Gurang National High School,1,12,3sty12cl,49361782.53,TCT / OCT
Region V,Region V,Sorsogon,Donsol West,302208,Donsol Vocational High School - Gimagaan,1,4,2sty 4cl,15850000,TCT / OCT
Region V,Region V,Sorsogon,Castilla East,302227,Milagrosa National High School,1,8,"2-units 2sty4cl (ICT, Sci, and Regular Workshop)",28430821.72,DOD
Region V,Region V,Sorsogon,Casiguran,302244,Del Carmen Memorial High School,1,12,"3sty12cl (including ICT and Sci lab, regular workshop)",49361782.53,DOD
Region V,Region V,Sorsogon,Magallanes North,501781,Bartolome G. Lee  Sr. Integrated School,1,12,"2STY4CL, 2STY8CL (with ICT and SCI LAB)",46050000,TD
Region V,Region V,Sorsogon,Castilla West,502288,Quirapi Integrated School,1,9,"2sty4cl SCI Lab, 2sty4cl ICT Lab, 1 unique workshop",39600000,TD
Region V,Region V,Sorsogon,Magallanes South,502588,Pawik Integrated School,1,4,2sty 4cl,15850000,TD
Region V,Region V,Sorsogon,Bulan North,114015,J.P. Laurel ES,1,9,3sty 9cl,39537461.3,DOD
Region V,Region V,Sorsogon,Bulan North,114022,Nasuje ES,1,4,2sty 4cl,19251316.19,DOD
Region V,Region V,Sorsogon,Bulan South,114034,Bulan South CS,1,6,3sty 6cl,29653095.98,DOD
Region V,Region V,Sorsogon,Bulan South,114037,Fabrica Elementary School,1,9,3sty9cl,39537461.3,TD
Region V,Region V,Sorsogon,Bulan South,114046,Otavi ES,1,4,2sty4cl,20668176.31,TD
Region V,Region V,Sorsogon,Bulusan,114057,Bagacay Elementary School,1,4,2sty 4cl,19029145.29,TCT / OCT
Region V,Region V,Sorsogon,Bulusan,114065,Sabang ES,1,6,3sty 6cl,30228181.26,DOD
Region V,Region V,Sorsogon,Irosin,114248,Bacolod Elementary School,1,12,4sty 12cl,51398699.7,DOS
Region V,Region V,Sorsogon,Juban,114257,Catanusan ES,1,8,2 units - 2sty 4cl,39266396.9,DOD
Region V,Region V,Sorsogon,Juban,114261,Guruyan ES,1,4,2sty 4cl,19209552.66,DOD
Region V,Region V,Sorsogon,Matnog,114311,Culasi ES,1,4,2sty 4cl,19633198.45,TD
Region V,Region V,Sorsogon,Matnog,114322,Matnog CS,1,12,3sty12cl,49361782.53,TD
Region V,Region V,Sorsogon,Sta. Magdalena,114409,Bilaoyon ES,1,8,2 units - 2sty 4cl,39266396.9,TCT / OCT
Region V,Region V,Sorsogon,Bulan South,175001,Alberto de Castro ES,1,9,3sty 9cl,39537461.3,DOD
Region V,Region V,Sorsogon,Bulan South,302190,Bulan National High School,1,66,"3units - 4sty20cl (7 Sci lab, 7 ICT lab, 13 regular workshop) & 6 units unique workshop",300090275.5,TD
Region V,Region V,Sorsogon,Bulan North,302191,Beguin High School,1,4,2sty4cl,20668176.31,TD
Region V,Region V,Sorsogon,Bulan South,302193,Butag School of Fisheries,1,6,2sty 6cl,26449658.6,DOD
Region V,Region V,Sorsogon,Matnog,302200,Culasi National High School,1,6,2sty 6cl,25190151.05,DOD
Region V,Region V,Sorsogon,Barcelona,302218,Celso F. Falcotelo National High School,1,8,2 units 2sty 4cl (including ICT and sci lab),39266396.9,DOS
Region V,Region V,Sorsogon,Matnog,302225,Matnog National High School,1,21,3sty 21cl,124991219,DOD
Region V,Region V,Sorsogon,Bulan North,302237,San Francisco National High School,1,12,3sty 12cl,41913264.98,DOD
Region V,Region V,Sorsogon,Bulan North,310002,J. P. Laurel National High School,1,4,2sty 4cl (including SHS),20668176.31,DOD
Region V,Region V,Sorsogon,Juban,310003,Guruyan National  High School,1,4,2sty 4cl,19633198.45,DOD
Region V,Region V,Sorsogon,Barcelona,310009,San Antonio National High School,1,4, 2sty 4cl (ICT and sci lab),19633198.45,DOD
Region V,Region V,Sorsogon,Matnog,310010,Tiong Hen So Memorial High School,1,4,2STY4CL,19633198.45,DOD
Region V,Region V,Sorsogon,Irosin,501525,Patag Integrated  School,1,9,3sty 9cl,39537461.3,DOD
Region V,Region V,Sorsogon,Prieto Diaz,501532,San Rafael Integrated School,1,4,2sty 4cl,19209552.66,TD
Region V,Region V,Sorsogon,Irosin,502085,Batang Integrated School,1,8,2sty 8cl,38502632.38,DOD
Region V,Region V,Sorsogon,Juban,502086,Calateo Integrated  School,1,4,2sty 4cl,19209552.66,DOD
Region V,Region V,Sorsogon City,Sorsogon West,302272,Celestino G. Tabuena Memorial National High School,1,9,3STY-9CL,40500000,TCT / OCT
Region V,Region V,Sorsogon City,Sorsogon West,310402,Panlayaan National High School,1,12,3STY-12,60000000,TCT / OCT
Region V,Region V,Sorsogon City,Bacon West,502555,Sto. Domingo Integrated School,1,12,3STY-12CL,54000000,TCT / OCT
NCR,NCR,Caloocan City,Caloocan North II,305382,Kalayaan National High School,1,12,4STY12CL,48000000,TCT / OCT
NCR,NCR,Caloocan City,Pobcaran (Poblacion-Caliparan),136618,Gregoria de Jesus Elementary School,1,72,12STY72CL,288000000,MOA
NCR,NCR,Caloocan City,Aromar (Aromahan-Marulas),136608,Kasarinlan Elementary School,1,16,4STY16CL,64000000,TCT / OCT
NCR,NCR,Caloocan City,Aromar (Aromahan-Marulas),136609,Kaunlaran Elementary School,1,12,4STY12CL,48000000,TCT / OCT
NCR,NCR,Caloocan City,Aromar (Aromahan-Marulas),305391,"M.B. Asistio, Sr. High School",1,12,4STY12CL,48000000,DOD
NCR,NCR,Caloocan City,Caloocan North I,305376,Amparo High School,1,12,4STY12CL,48000000,TCT / OCT
NCR,NCR,Caloocan City,Caloocan North I,136633,Camarin D Elementary School,1,20,4STY20CL,80000000,TCT / OCT
NCR,NCR,Las Piñas City,Las Piñas City I,136775,Gatchalian Elementary School,1,8,4STRY8CL,36000000,TCT / OCT
NCR,NCR,Las Piñas City,Las Piñas City I,136776,Ilaya Elementary School,1,8,4STRY8CL,36000000,DOD
NCR,NCR,Las Piñas City,Las Piñas City II,136789,Pilar Village Elementary School,1,8,4 Stry 8 Cls,36000000,TD
NCR,NCR,Malabon City,Malabon District V,500337,Catmon IS,1,16,4sty8cl,110124000,TCT / OCT
NCR,NCR,Malabon City,Malabon District III,500338,Col. Ramon Camus Integrated School,1,24,4sty12cl,177156000,TD
NCR,NCR,Malabon City,Malabon District III,136842,Concepcion ES,1,24,4sty20CL,131670000,TD
NCR,NCR,Malabon City,Malabon District V,136854,Epifanio de los Santos ES,1,32,"4sty16cl, 2units 4sty8cl",220248000,TCT / OCT
NCR,NCR,Malabon City,Malabon District IV,136851,Guillermo S. Sanchez Memorial ES,1,12,4sty12cl,88578000,TD
NCR,NCR,Malabon City,Malabon District II,136835,Longos ES,1,8,4sty8cl,57815100,TD
NCR,NCR,Malabon City,Malabon District I,305447,Malabon National High School,1,60,6sty60cl,500000000,TD
NCR,NCR,Malabon City,Malabon District III,136844,Muzon ES,1,24,4sty12cl,177156000,TCT / OCT
NCR,NCR,Malabon City,Malabon District II,340568,Ninoy Aquino Senior High School,1,8,4sty8cl,55062000,DOD
NCR,NCR,Malabon City,Malabon District I,136831,Panghulo ES,1,12,4sty12cl,88578000,TD
NCR,NCR,Malabon City,Malabon District IV,136848,Potrero ES,1,32,4sty16cl,220248000,TD
NCR,NCR,Manila,Tondo XII,136440,J. C. de Jesus Elementary School,1,40,8STY 40CL,320000000,TD
NCR,NCR,Manila,Tondo VI,500566,T. Paez Integrated School,1,88,6STY 18CL  AND 8STY 32CL ,464000000,TD
NCR,NCR,Manila,Sta. Ana III,500569,Gen. Emilio Aguinaldo Integrated School,1,60,10STY 60CL,600000000,DOD
NCR,NCR,Marikina City,Marikina City District I,136674,L. Victorino ES,1,32,4STY32CL,256000000,DOD
NCR,NCR,Marikina City,Marikina City District I,136676,Marikina ES,1,40,5STY40CL,320000000,TD
NCR,NCR,Marikina City,Marikina City District II,305400,Marikina Heights NHS,1,24,4STY24CL,168000000,TCT / OCT
NCR,NCR,Marikina City,Marikina City District II,305404,Parang HS,1,24,4STY24CL,168000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,136899,Bayanan ES - Main,1,24,4STY24CL,120000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,500438,Lakeview Integrated School,1,12,4STY12CL,60000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,136904,Putatan ES,1,16,4STY16CL,80000000,TCT / OCT
NCR,NCR,Navotas,Navotas District I,136857,Bangkulasi Elementary School,1,8,4STY8CL,55062000,TD
NCR,NCR,Navotas,Navotas District I,136859,Kapitbahayan Elementary School,1,12,4STY12CL,81396000,DOD
NCR,NCR,Navotas,Navotas District I,328001,Navotas National Science High School,1,20,4STY20CL,131670000,UA
NCR,NCR,Navotas,Navotas District II,136866,San Roque Elementary School,1,8,4STY8CL,55062000,TD
NCR,NCR,Navotas,Navotas District II,305457,Tangos National High School,1,16,4STY16CL,110124000,DOD
NCR,NCR,Navotas,Navotas District II,136869,Tanza Elementary School,1,12,4STY12CL,88578000,TD
NCR,NCR,Paranaque City,Paranaque City District I,305426,Paranaque National High School - Baclaran,1,24,6 Sty 24,144000000,TD
NCR,NCR,Pasig City,Pasig City District I,305417,Pinagbuhatan High School,1,24,"4STY16CL
4STY8CL",150000000,TCT / OCT
NCR,NCR,Quezon City,School District IV,136505,San Antonio ES,1,32,4STY16CL,144000000,DOD
NCR,NCR,Quezon City,School District IV,136506,Toro Hills ES,1,24,4STY24CL,108000000,TCT / OCT
NCR,NCR,Quezon City,School District XV,136585,Diosdado P. Macapagal ES (Tatalon ES),1,24,4STY24CL,108000000,MOA
NCR,NCR,Quezon City,School District XIV,136579,General  Roxas Elementary School,1,32,4STY16CL,144000000,DOD
NCR,NCR,Quezon City,School District XII,136574,San Vicente ES,1,24,4STY12CL,108000000,TCT / OCT
NCR,NCR,Taguig City and Pateros,Pateros,136896,Pateros Elementary School,1,16,4STY16CL,44100000,DOD
NCR,NCR,Taguig City and Pateros,Pateros,305466,Pateros National High School,1,12,4STY12CL,63832470,TD
NCR,NCR,Taguig City and Pateros,Taguig District II,305459,Bagumbayan National High School,1,12,4STY12CL,35280000,TCT / OCT
NCR,NCR,Taguig City and Pateros,Taguig District I,305460,Taguig National High School,1,16,4STY16CL,44100000,PP
NCR,NCR,Taguig City and Pateros,Taguig District II,502057,Bagong Tanyag Integrated School,1,30,10STY30CL,150000000,TCT / OCT
NCR,NCR,Taguig City and Pateros,Taguig District III,500340,Kapitan Eddie T. Reyes Integrated School,1,16,4STY15CL,44100000,PP
NCR,NCR,Taguig City and Pateros,Taguig District III,501954,Maharlika Integrated School,1,16,4STY16CL,44100000,TCT / OCT
NCR,NCR,Taguig City and Pateros,Taguig District II,320605,Upper Bicutan National High School,1,8,4STY8CL,26460000,UA
NCR,NCR,Valenzuela City,Valenzuela City Central District,136794,Dalandanan Elementary School,1,12,4STY 12CL,58150000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City Central District,305438,Malinta National High School,1,16,4STY 8CL,70300000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City North District,136809,Tagalag Elementary School,1,12,4STY 12CL,58150000,TD
Region II,Region II,Isabela,Roxas West,305832,Roxas Stand Alone Senior High School,1,40,8STY40CL,200000000,DOD
Region III,Region III,Tarlac,Gerona South,106471,Malayep ES,1,52,"2UNITS 4STY20CL &
1UNIT 3STY12CL",231000000,TCT / OCT
Region IV-A,Region IV-A,Imus City,Imus I,502872,CITY OF IMUS INTEGRATED SCHOOL,1,12,4STY12CL,47500000,UA
Region IV-A,Region IV-A,Imus City,Imus I,502873,Francisca Tirona Benitez Integrated School,1,12,4STY12CL,475000000,UA
Region IV-A,Region IV-A,Imus City,Imus II,501895,Gov. D. M. Camerino Integrated School,1,12,4STY12CL,47500000,TD
Region IV-A,Region IV-A,Rizal,Taytay I,109528,Felix M. Sanvictores ES,1,8,4STY8CL,34000000,TD
Region IV-A,Region IV-A,Rizal,Rodriguez I (Rodriguez),109480,Wawa Elementary School,1,12,4STY12CL,48000000,DOD
Region IV-A,Region IV-A,Sta. Rosa City,City of Sta. Rosa District I,108485,Tagapo Elementary School,1,12,4 STY 12 CL,50000000,TCT / OCT
Region IV-A,Region IV-A,Sto. Tomas City,Sto. Tomas South,301143,San Pedro National High School,1,12,4ST 12 CL,51000000,TD
Region IV-A,Region IV-A,Sto. Tomas City,Sto. Tomas North,306243,Sto. Tomas City National High School,1,24,4ST 12CL,112200000,DOD
Region V,Region V,Masbate,Uson South,302121,Buenavista National High School,1,13,3STY9CL & 2STY4CL,80000000,TD
Region V,Region V,Sorsogon City,Sorsogon East,501526,San Lorenzo Integrated National School,1,15,3STY-15CL,75000000,DOD
CAR,CAR,Abra,Bangued East,134966,Agtangao ES,1,6, 2 storey 6 classrooms with laboratory ,22500000,SP
CAR,CAR,Abra,Bangued East,134975,Sinalang Pilot ES,1,8,2STY8CL with demolition of existing structure,35500000,SP
CAR,CAR,Abra,Danglas,135030,Danglas CS,1,4,2 storey 4 classrooms,14500000,SP
CAR,CAR,Abra,Baay-Licuan,135046,Licuan-Baay Central School,1,4,2 storey 4 classrooms ,14600000,SP
CAR,CAR,Benguet,La Trinidad,135623,Buyagan ES,1,20,CONSTRUCTION OF 4 STOREY 20 CLASSROOMS WITH  SITE ADAPTATION,70000000,SP
CAR,CAR,Benguet,Tublay,305162,Tublay School of Home Industries,1,16,CONSTRUCTION OF 4 STOREY 16 CLASSROOMS WITH  SITE ADAPTATION,56000000,TCT/OCT
CAR,CAR,Tabuk City,Western Tabuk District I,136165,Tuliao Elementary School,1,6,3STY6CL,18000000,SP
NCR,NCR,Caloocan City,Tanque,136630,Sta. Quiteria Elementary School,1,20,4STY20CL,80000000,TCT/OCT
NCR,NCR,Pasig City,Pasig City District II,305416,Eusebio High School,1,27,"4STY27CL
with Roof Deck",170000000,TCT/OCT
Region I,Region I,Alaminos City,District I,300155,Alaminos City National High School,1,20,4  STY 20 CL,70000000,TCT/OCT
Region I,Region I,Alaminos City,District III,500564,Pangapisan Integrated School,1,4,2 STY 4CL,14000000,SP
Region I,Region I,Ilocos Norte,Bangui,300003,Bangui NHS,1,10,2STY10CL,35000000,SP
Region I,Region I,"Pangasinan I, Lingayen",Bolinao,101340,Beda Elementary School,1,4,2STY4CL,14000000,SP
Region I,Region I,"Pangasinan I, Lingayen",Agno,300164,Bangan Oda NHS,1,8,4STY8CL,28000000,SP
Region I,Region I,"Pangasinan I, Lingayen",Bani,300192,Dacap Norte National High School,1,12,4STY12CL,42000000,TCT/OCT
Region I,Region I,"Pangasinan I, Lingayen",Dasol,300201,Eguia National High School,1,8,4STY8CL,28000000,SP
Region I,Region I,"Pangasinan I, Lingayen",Binmaley II,101326,Calit ES,1,8,2STY8CL,42000000,SP
Region I,Region I,"Pangasinan I, Lingayen",Binmaley I,300232,BINMALEY SCHOOL OF FISHERIES,1,16,4STY16CL,82000000,TCT/OCT
Region I,Region I,"Pangasinan I, Lingayen",Bayambang I,300168,Bayambang NHS (Bayambang),1,20,4STY2OCL,70000000,TCT/OCT
Region I,Region I,"Pangasinan I, Lingayen",Malasiqui II,300191,Clemente Cristobal NHS,1,8,4STY8CL,28000000,TCT/OCT
Region I,Region I,"Pangasinan I, Lingayen",Malasiqui I,300220,Malasiqui NHS,1,20,4STY20CL,70000000,TCT/OCT
Region I,Region I,"Pangasinan II, Binalonan",Mangaldan I,101811,David ES,1,4,2STY4CL,13200000,SP
Region I,Region I,"Pangasinan II, Binalonan",Mangaldan I,101815,Mangaldan Central School,1,4,2STY4CL,13200000,TCT/OCT
Region I,Region I,"Pangasinan II, Binalonan",San Fabian I,101914,San Fabian West CES,1,8,2STY8CL,30400000,SP
Region I,Region I,"Pangasinan II, Binalonan",San Jacinto,300348,San Jacinto National High School,1,16,4STY8CL,52800000,SP
Region I,Region I,"Pangasinan II, Binalonan",Villasis I,300308,Don Ramon E. Costales MNHS,1,16,4STY8CL,52800000,TCT/OCT
Region I,Region I,"Pangasinan II, Binalonan",Villasis I,300334,Piaz National High School,1,8,4STY8CL,28000000,TCT/OCT
Region I,Region I,"Pangasinan II, Binalonan",Rosales I,300341,Rosales NHS,1,20,4STY20CL,70000000,TCT/OCT
Region I,Region I,"Pangasinan II, Binalonan",Umingan I,300365,Umingan National High School,1,24,4STY8CL,84000000,TCT/OCT
Region I,Region I,San Carlos City,San Carlos City District I,300388,Speaker Eugenio Perez National Agricultural School,1,48,4 STY 12 CL,144000000,TCT/OCT
Region I,Region I,Urdaneta City,Urdaneta City District I,102278,Palina East Elementary School,1,8,2 STY 8 CL,24000000,TCT/OCT
Region I,Region I,Urdaneta City,Urdaneta City District I,300393,Bactad East National High School,1,8,4 STY 8 CL,24000000,TCT/OCT
Region I,Region I,Urdaneta City,Urdaneta City District I,300403,Mariano Q. Umipig National High School,1,8,4 STY 8 CL,24000000,TCT/OCT
Region I,Region I,Urdaneta City,Urdaneta City District I,300407,Palina East National High School,1,8,4 STY 8 CL,24000000,SP
Region I,Region I,Urdaneta City,Urdaneta City District II,300410,Urdaneta City National High School,1,20,4 STY 20 CL,60000000,TCT/OCT
